A3	 Anytime, anywhere, anyplace
AAF	 As a matter of fact
AAK	 Asleep at keyboard
AAMOI	 As a matter of interest
AAP	 Always a pleasure
ACK	 Acknowledge
ADN	 Any day now
ADR	 Address
AEAP	 As early as possible
AFAIK	 As far as I know
AIGHT	 Alright
AISB	 As it should be
AKA	 Also known as
AML	 All my love
AOTA	 All of the above
ASAP	 As soon as possible
ATM	 At the moment
AYOR	 At your own risk
AYSOS	 Are you stupid or something
BF	 Boyfriend
B4	 Before
B4N	 Bye for now
BB	 Be back
BBIAF	 Be back in a few
BBIAM	 Be back in a minute
BBIAS	 Be back in a sec
BBL	 Be back later
BBQ	 Be back quickly
BBS	 Be back soon
BBT	 Be back tomorrow
BC	 Because
BCNU	 Be seein' you
BCOS	 Because
BF	 Best friend
BDN	 Big damn number
BFN	 Bye for now
BG	 Big grin
BGWM	 Be gentle with me
BFG	 Big  f***ing grin
BIOYN	 Blow it out your nose
BLNT	 Better luck next time
BM&Y	 Between me and you
BOL	 Best of luck
BPLM	 Big person little mind
BRB	 Be right back
BRT	 Be right there
BTA	 But then again
BTDT	 Been there, done that
BTW	 By the way
CMIIW	 Correct me if I'm wrong
CMON	 Come on
COB	 Close of business
COS	 Because
C/P	 Cross post
CR8	 Create
CRB	 Come right back
CRBT	 Crying really big tears
CU	 See you
CUA	 See you around
CUL	 See you later
CUL8R	 See you later
CWYL	 Chat with you later
CYA	 See ya
CYO	 See you online
D/L	 Download
DL	 Download
DEGT	 Don't even go there
DIKU	 Do I know you?
DQMOT	 Don't quote me on this
DTS	 Don't think so
DV8	 Deviate
EBKAC	 Error between keyboard and chair
EF4T	 Effort
EG	 Evil grin
EMA	 E-mail address
EMFBI	 Excuse me for butting in
EMSG	 E-mail message
ENUF	 Enough
EOD	 End of day
EOM	 End of message
EVA	 Ever
EZY	 Easy
F2F	 Face to face
F2T	 Free to talk
FBM	 Fine by me
FC	 Fingers crossed
FICCL	 Frankly I couldn't care a less
FISH	 First in, still here
FOMCL	 Falling off my chair laughing
FITB	 Fill in the blank
FRT	 For real though
FWIW	 For what it's worth
FYEO	 For your eyes only
FYI	 For your information
G/F	 Girlfriend
G2CU	 Good to see you
G2G	 Got to go
G2R	 Got to run
G9	 Genius
GA	 Go ahead
GAL	 Get a life
GB	 Goodbye
GBU	 God bless you
GDR	 Grinning, ducking, and running
GD/R	 Grinning, ducking, and running
GFI	 Go for it
GG	 Gotta Go or Good Game
GIAR	 Give it a rest
GIGO	 Garbage in, garbage out
GL	 Good luck
GL/HF	 Good luck, have fun
GLNG	 Good luck next game
GMTA	 Great minds think alike
GOI	 Get over it
GOL	 Giggling out loud
GR8	 Great
GR&D	 Grinning, running and ducking
GT	 Good try
GTG	 Got to go
GTRM	 Going to read mail
H&K	 Hugs & kisses
H2CUS	 Hope to see you soon
H8	 Hate
HAGN	 Have a good night
HAGO	 Have a good one
HAND	 Have a nice day
HF	 Have fun
HHIS	 Head hanging in shame
HOAS	 Hold on a second
HRU	 How are you?
HTH	 Hope this helps
HV	 Have
IAC	 In any case
IB	 I'm back
IC	 I see
ICBW	 It could be worse
IDK	 I don't know
IDTS	 I don't think so
IDUNNO	 I don't know
IG2R	 I got to run
IIRC	 If I remember correctly
ILBL8	 I'll be late
ILU	 I love you
ILY	 I love you
IM	 Instant message
IMHO	 In my humble opinion
IMO	 In my opinion
IMS	 I am sorry
IOW	 In other words
IRL	 In real life
IYO	 In your opinion
IYSS	 If you say so
JAC	 Just a sec
JIC	 Just in case
JJA	 Just joking around
JK	 Just kidding
JMO	 Just my opinion
JP	 Just playing
K8T	 Katie
KB	 Keyboard
KISS	 Keep it simple, stupid
KIT	 Keep in touch
KNIM	 Know what I mean?
L8R	 Later
LD	 Later, dude / Long distance
LERK	 leaving easy reach of keyboard
LMAO	 Laughing my a** off
LOL	 Laughing out loud
LTNS	 Long time no see
LYLAS	 Love you like a sis
M8	 Mate
MFI	 Mad for it
MorF	 Male or female?
MSG	 Message
MTF	 More to follow
MTFBWU	 May the force be with you
MUSM	 Miss you so much
MYOB	 Mind your own business
N1	 Nice one
NBD	 No big deal
NE	 Any
NE1	 Anyone
NFM	 None for me / Not for me
NLT	 No later than
NM	 Nothing much / Never mind
NO1	 No one
NP	 No problem
NRN	 No response/reply necessary
NVM	 Never mind
NW	 No way
NW)	 No way out
OIC	 Oh, I see
OMG	 Oh my God
OMW	 On my way
OO	 Over and out
OOH	 Out of here
OOTD	 One of these days
OP	 On phone
OTB	 Off to bed
OTL	 Out to lunch
OTOH	 On the other hand
OTT	 Over the top
OTW	 Off to work
OVA	 Over
PCM	 Please call me
PDQ	 Pretty darn quick
PLMK	 Please let me know
PLS	 Please
PLZ	 Please
PM	 Private Message
POAHF	 Put on a happy face
POS	 Parent over shoulder
PPL	 People
PROLLY	 Probably
PRT	 Party
PRW	 People are watching
PTMM	 Please tell me more
PXT	 Please explain that
QIK	 Quick
QT	 Cutie
RL	 Real life
ROFL	 Rolling on floor laughing
RSN	 Real soon now
RTFM	 Read the f***ing manual
RUOK	 Are you okay?
SAL	 Such a laugh
SC	 Stay cool
SETE	 Smiling Ear-to-Ear
SICNR	 Sorry, I could not resist
SIG2R	 Sorry, I got to run
SIS	 Snickering in silence
SIT	 Stay in touch
SOL	 Sooner or later
SPK	 Speak
SPST	 Same place, same time
SRY	 Sorry
SS	 So sorry
SSDD	 Same stuff, different day
SSINF	 So stupid it's not funny
STR8	 Straight
STW	 Search the Web
SUL	 See you later
SUP	 What's up?
SYL	 See you later
T+	 Think positive
TA	 Thanks a lot
TAFN	 That's all for now
TBC	 To be continued
TBH	 To be honest
TC	 Take care
TGIF	 Thank God it's Friday
THX	 Thanks
THNX	 Thanks
THNQ	 Thank-you
TIA	 Thanks in advance
TMB	 Text me back
TMI	 Too much information
TMOT	 Trust me on this
TMWFI	 Take my word for it
TPM	 Tomorrow p.m.
TSTB	 The sooner, the better
TTYL	 Talk to you later
TY	 Thank you
TYT	 Take your time
TYVM	 Thank you very much
UCMU	 You crack me up
UGTBK	 You've got to be kidding
UL	 Upload
UR	 Your
UV	 Unpleasant visual
UW	 You're welcome
VGC	 Very good condition
VIP	 Very important person
VM	 Voice mail
VSF	 Very sad face
WAM	 Wait a minute
WAN2TLK	 Want to talk
WAYF	 Where are you from?
WB	 Write back
WB	 Welcome back
WC	 Who cares
WCA	 Who cares anyway
WDYK	 What do you know
WITW	 What in the world
WIU	 Wrap it up
WK	 Week
WKD	 Weekend
WRT	 With regard to
WRK	 Work
WRUD	 What are you doing?
WTB	 Wanted to buy
WTF	 What the f**k
WTG	 Way to go
WTH	 What the heck? or What the hell?
WU?	 What's up?
WUF?	 Where you from?
WWJD	 What would Jesus do?
WYLEI	 When you least expect it
WYSIWYG	 What you see is what you get
XLNT	 Excellent
YA	 Your
YBS	 You'll be sorry
YCMU	 You crack me up
YGBKM	 You've got to be kidding me
YR	 Your
YR	 Yeah right
YRYOCC	 You're running your own cookoo clock
YSYD	 Yeah sure you do
YW	 You're welcome
ZZZZ	 Sleeping (or bored)
